AGE	SEXE	REGION	STAT_MARI	SAL_HOR	SYNDICAT	CATEGORIE	NIV_ETUDES	NB_PERS	NB_ENF	REV_FOYER
58	F	NE	C	13.25	non	5	43	2	0	11
40	M	W	M	12.50	non	7	38	2	0	7
29	M	S	C	14.00	non	5	42	2	0	15
59	M	NE	D	10.60	oui	3	39	4	1	7
51	M	W	M	13.00	non	3	35	8	1	15
19	M	NW	C	7.00	non	3	39	6	0	16
64	F	S	M	19.57	non	9	40	3	0	13
23	F	NE	C	13.00	non	1	43	2	0	11
47	M	NW	M	20.10	oui	8	40	3	0	12
66	F	S	D	12.50	non	5	40	1	0	8
26	M	NE	M	9.96	non	2	42	3	0	10
23	F	NE	C	14.00	non	5	40	2	0	8
54	F	W	M	10.50	oui	3	34	6	1	13
44	F	NW	C	14.50	non	2	40	5	0	11
56	F	S	M	15.04	non	2	43	4	0	14
43	F	S	C	7.75	non	2	43	4	0	7
23	F	NW	S	11.00	non	5	40	3	0	13
32	M	NW	M	10.00	non	9	39	2	0	7
32	M	S	S	13.50	non	2	40	3	0	14
27	F	NE	C	22.00	non	2	43	2	0	15
36	F	NE	M	40.24	non	2	44	4	2	15
56	M	NW	D	12.00	non	1	40	1	0	6
47	F	NW	M	25.75	non	5	41	3	0	12
46	M	NW	M	12.00	non	1	41	2	0	16
58	M	NW	M	31.50	oui	7	41	3	0	13
38	F	S	M	19.00	non	2	39	2	0	5
28	F	S	C	18.00	non	5	43	3	0	15
57	F	W	C	22.79	non	3	40	1	0	8
32	F	W	C	25.00	oui	2	41	2	0	14
16	M	W	C	25.00	non	2	35	4	0	15
31	M	NW	M	17.10	oui	7	42	5	1	15
60	M	S	M	8.00	non	3	39	4	0	11
46	F	W	M	16.00	oui	2	40	4	0	16
65	M	S	V	16.70	non	3	44	4	0	14
58	M	W	D	37.00	non	2	46	2	0	15
44	M	NW	C	62.00	non	2	43	2	0	15
54	M	NE	M	42.00	non	2	43	5	1	16
62	F	W	D	20.00	oui	5	39	2	0	10
31	M	NW	M	17.00	non	8	41	2	0	9
22	M	W	C	10.00	non	9	34	6	0	9
33	F	NE	M	13.00	non	3	39	4	2	13
58	M	W	M	55.00	non	1	43	3	0	15
31	F	W	S	16.00	non	5	40	2	1	9
62	M	NW	C	11.50	non	3	43	1	0	8
33	F	NE	M	9.00	non	2	40	5	2	9
27	M	W	C	12.00	non	6	39	2	0	14
55	F	S	M	25.00	non	3	40	5	2	11
19	F	NE	C	8.50	non	3	39	4	0	12
55	M	NW	M	28.00	non	7	40	2	0	14
52	M	NE	M	32.00	oui	8	39	2	0	12
51	F	W	M	15.00	non	1	41	4	0	15
26	M	NW	C	14.00	non	3	40	1	0	11
36	M	W	C	8.00	non	3	39	5	0	16
23	F	S	C	8.00	non	3	42	4	0	11
32	M	NW	C	7.50	non	3	37	4	2	6
54	F	S	M	19.00	non	2	40	1	0	11
50	M	W	M	11.00	non	8	33	5	1	6
51	M	S	M	28.00	non	9	44	4	0	15
32	M	S	M	18.00	non	2	43	4	2	14
47	M	NE	C	7.00	non	3	43	3	0	6
31	F	S	C	30.00	non	2	40	3	0	13
23	M	S	C	9.35	non	3	40	4	0	11
22	M	NW	C	9.75	non	1	39	4	0	11
71	F	NW	M	10.70	non	4	39	2	0	12
41	M	W	M	25.00	oui	3	40	3	0	14
68	F	NE	M	15.60	non	5	43	2	0	14
55	F	S	M	15.75	non	3	40	2	0	15
22	F	NE	C	13.05	non	10	40	2	0	11
21	F	S	C	11.22	non	5	39	2	0	11
48	M	S	M	32.25	oui	2	43	5	2	15
42	M	W	M	20.00	non	2	43	3	1	12
59	M	S	M	25.00	non	10	38	4	0	14
55	M	NW	D	7.40	non	8	39	1	0	9
59	F	W	M	15.00	non	9	39	6	0	9
23	F	W	C	9.00	non	9	39	2	0	8
43	F	W	M	14.91	non	3	41	3	1	12
28	M	NW	C	39.00	non	2	43	1	0	7
38	F	NE	M	8.30	oui	2	43	4	2	13
42	M	NE	M	30.27	oui	9	39	6	3	14
57	M	S	M	40.86	non	1	40	2	0	16
48	F	W	M	15.00	oui	2	42	6	1	16
53	M	W	D	21.76	non	4	40	1	0	11
29	F	NW	D	22.48	oui	2	43	3	0	12
65	F	W	V	12.00	non	3	33	7	0	8
46	F	NW	D	19.50	non	1	44	2	1	11
53	M	S	M	14.00	non	2	43	2	0	13
59	F	NW	M	14.00	oui	2	39	3	0	13
43	M	S	M	10.00	non	5	39	5	3	11
34	M	W	M	9.50	non	3	40	7	5	14
50	M	NE	M	32.00	non	6	43	4	1	13
54	M	NE	M	14.41	oui	8	41	4	2	12
54	F	NE	M	17.00	non	5	42	2	0	13
38	M	S	M	23.05	oui	3	40	5	3	12
28	F	W	C	8.87	oui	2	39	3	0	10
34	F	NE	C	21.00	non	5	42	3	0	16
30	F	W	M	10.00	non	5	40	4	2	14
27	M	NW	C	28.00	non	10	39	4	0	13
23	F	W	C	13.00	non	4	40	2	0	14
43	F	W	M	37.00	oui	2	43	2	0	14
25	F	NW	M	19.80	non	2	44	2	0	13
67	M	S	M	10.50	non	3	39	3	0	12
20	F	NW	C	7.25	non	3	40	5	0	14
37	M	S	M	10.05	oui	10	39	2	0	13
60	F	NW	D	16.75	non	2	43	1	0	12
41	M	NE	M	30.00	oui	7	40	5	2	15
47	F	NW	M	50.00	non	2	43	4	2	16
51	F	NW	D	7.25	non	3	39	2	0	7
50	M	NE	C	5.00	non	10	40	3	0	11
23	M	NE	C	11.00	non	3	40	4	0	14
52	F	W	C	25.00	non	3	40	1	0	6
50	F	NE	D	5.00	non	3	39	1	0	6
26	F	W	C	32.00	non	1	43	3	0	8
59	F	S	M	29.32	non	2	44	3	0	16
41	M	W	M	19.00	non	10	39	4	2	9
63	F	NW	M	4.00	non	3	39	2	0	14
60	M	NE	M	20.00	non	1	39	2	0	14
53	F	W	M	12.00	non	3	40	4	1	14
64	M	S	M	8.00	non	10	40	2	0	14
37	F	S	C	10.25	non	4	39	2	1	7
25	M	NE	C	7.15	non	3	40	6	0	15
24	F	W	M	8.05	non	3	39	2	0	11
70	F	NE	D	36.00	non	2	44	1	0	10
35	M	S	M	22.00	non	2	41	5	2	11
45	F	S	M	8.00	non	3	39	2	0	4
52	F	S	M	19.50	non	5	40	2	0	14
49	M	NE	M	16.87	oui	9	39	4	0	14
54	F	NE	M	20.20	non	4	39	3	0	7
21	F	W	C	8.00	non	2	40	2	0	4
58	M	NE	M	30.00	non	10	40	2	0	12
52	M	S	M	23.00	non	9	40	4	1	14
54	F	W	M	23.00	oui	5	40	4	0	14
18	M	S	C	7.25	non	3	39	6	0	16
20	F	W	C	15.00	non	2	40	4	0	15
22	F	S	C	13.00	oui	2	40	4	0	15
61	M	NW	M	21.43	oui	3	39	2	0	14
51	F	W	M	25.00	non	2	42	4	1	15
62	F	S	D	8.00	non	5	39	1	0	14
41	M	W	C	12.50	non	4	40	1	0	8
37	F	NE	M	7.25	non	10	39	4	2	10
26	M	S	M	14.15	non	6	40	2	0	10
39	M	NE	M	14.50	non	7	42	3	1	11
48	M	S	M	20.00	non	10	32	6	3	12
34	M	NE	M	42.08	oui	8	39	4	2	16
58	M	S	M	9.15	non	10	35	4	0	13
32	F	NE	M	16.34	oui	2	44	4	2	16
49	F	NE	M	15.00	non	2	42	2	0	9
36	F	W	M	8.50	non	3	39	4	3	1
35	M	S	C	16.00	non	5	40	2	0	13
51	M	W	M	20.00	non	8	40	4	1	15
54	M	NW	M	30.00	non	8	39	2	0	13
51	M	NE	M	16.47	non	4	39	5	2	13
37	F	W	M	74.00	non	2	46	5	0	16
27	F	S	C	3.00	non	3	39	4	2	6
46	M	NE	M	30.00	non	8	39	4	0	9
56	F	S	M	12.50	non	2	39	2	0	6
58	M	S	M	22.00	non	8	40	2	0	14
53	F	NW	M	15.35	non	5	39	2	0	12
51	M	S	M	22.75	oui	7	39	2	0	2
50	M	NW	M	16.75	non	1	39	4	0	12
46	M	W	M	16.00	non	3	40	4	2	15
44	M	S	C	10.10	non	9	39	3	0	12
54	M	NE	M	13.47	non	4	42	6	0	16
43	F	S	M	7.89	non	4	39	4	0	14
61	M	NE	M	99.00	non	1	44	2	0	14
41	M	S	M	2.00	non	3	43	2	0	12
57	F	S	M	8.00	non	3	35	2	0	8
26	M	NW	M	18.50	non	4	43	3	1	14
44	F	NE	D	11.50	non	4	39	2	0	13
63	M	W	M	14.00	oui	10	42	2	0	16
26	M	NE	C	15.43	non	2	40	3	0	10
47	F	NW	M	13.00	non	5	39	3	1	13
35	F	NW	M	30.00	non	2	43	3	1	15
27	F	W	M	20.00	non	2	42	3	1	14
34	M	W	C	8.25	non	1	39	3	0	14
33	M	W	C	19.00	non	5	41	4	0	10
23	M	S	C	9.00	non	8	39	3	0	6
17	F	NE	C	7.90	non	3	36	5	0	12
37	F	S	M	15.00	non	1	43	4	2	16
48	M	NE	M	17.00	oui	2	41	4	1	15
58	F	NW	M	32.00	non	2	43	2	0	9
46	F	W	D	10.00	non	2	42	4	0	10
60	F	NW	C	13.90	non	5	43	2	0	13
52	M	NW	D	32.00	non	2	43	1	0	15
21	F	S	C	7.25	non	3	37	4	1	12
19	M	NW	C	11.00	non	5	39	5	0	7
39	M	W	M	11.00	non	7	35	4	2	3
57	F	S	M	33.00	oui	3	43	3	0	15
40	M	S	M	20.00	non	1	44	2	0	15
55	F	S	D	11.41	non	3	40	3	0	10
60	M	NE	M	12.00	non	5	42	2	0	11
51	M	S	M	10.00	non	7	36	3	0	5
44	M	NE	D	15.00	non	10	39	4	1	14
49	M	NW	M	26.00	non	7	39	2	0	13
32	M	W	M	37.35	oui	7	39	1	0	14
63	M	W	M	37.00	non	2	43	3	0	16
47	F	NE	C	13.28	oui	3	39	2	0	9
21	F	NW	C	11.00	non	5	40	3	0	14
35	F	NE	C	19.16	non	5	40	3	1	12
44	F	W	M	26.00	oui	2	43	6	2	16
24	M	S	C	12.00	non	5	40	2	0	9
70	M	NW	M	7.65	non	10	39	2	0	11
52	M	NE	M	25.00	non	9	39	3	0	13
34	M	NW	M	30.00	non	2	45	3	1	14
35	M	S	M	19.19	non	8	39	3	1	13
44	F	W	M	30.00	non	1	39	4	2	15
39	F	S	S	47.47	non	1	43	2	1	12
35	M	NE	M	35.00	non	2	46	4	2	14
35	F	NW	M	17.35	non	2	43	2	0	15
45	F	NE	C	15.00	non	1	44	3	0	1
43	F	W	C	14.27	oui	3	36	3	1	6
29	M	W	M	14.00	non	10	37	6	4	8
74	F	NW	D	18.00	non	5	40	1	0	13
23	F	S	M	9.00	non	5	43	4	2	6
46	F	NE	D	18.25	oui	5	42	4	2	10
35	F	NW	V	10.00	non	9	42	3	1	5
51	M	NW	M	36.00	oui	7	40	2	0	15
54	M	S	M	15.00	oui	2	39	2	0	13
21	M	W	C	10.00	non	10	40	4	0	10
45	M	NE	C	19.50	non	2	39	2	0	10
24	M	NW	C	10.75	non	3	39	2	0	12
58	M	S	M	33.90	non	7	40	2	0	15
55	F	S	M	21.00	non	5	39	7	0	14
63	F	S	M	24.45	non	2	43	4	0	15
58	M	NE	C	11.10	non	3	39	1	0	8
67	F	NW	C	18.00	non	1	44	1	0	9
24	F	S	M	10.00	non	5	39	4	2	4
33	M	NE	M	7.47	non	5	40	3	1	4
32	F	NE	M	11.00	non	5	40	4	2	12
61	F	W	D	25.50	oui	5	43	1	0	14
45	F	S	C	10.75	non	3	41	1	0	2
20	F	NW	M	2.25	non	3	41	4	1	10
42	F	S	C	45.00	non	1	44	2	0	15
42	F	S	C	22.30	non	5	39	2	0	11
41	F	W	M	13.75	non	3	39	3	0	14
23	F	NE	C	13.00	non	5	43	3	0	16
43	F	S	M	10.50	non	3	39	3	1	13
23	M	W	C	10.00	non	1	40	1	0	8
56	M	W	M	29.50	oui	1	39	2	0	12
37	F	NE	C	11.50	non	5	43	1	0	11
34	M	S	C	7.00	non	7	37	2	0	13
48	M	NE	M	12.50	oui	3	39	3	1	7
18	F	NE	C	7.50	non	4	37	6	0	15
31	F	S	M	15.00	non	2	42	4	2	14
23	M	W	M	20.00	non	2	43	2	0	9
27	M	S	D	20.00	non	9	42	4	2	7
51	M	S	C	11.00	non	10	33	4	1	10
37	F	W	C	25.00	non	3	39	3	2	12
61	F	NW	M	21.00	non	1	40	2	0	15
49	F	NW	M	15.00	non	9	39	2	0	15
27	M	W	S	8.00	non	10	35	6	0	4
62	M	S	M	32.00	non	1	43	2	0	16
22	M	W	C	9.00	non	5	40	4	0	11
51	M	NE	D	20.00	non	8	39	2	0	13
65	F	NE	M	15.12	non	5	39	2	0	16
31	M	S	C	12.50	non	4	43	1	0	13
35	M	NE	C	15.00	non	4	43	1	0	8
21	F	S	C	7.25	non	4	40	3	0	9
49	M	W	D	20.00	non	2	43	2	0	13
52	M	W	M	15.30	oui	5	43	6	1	14
57	F	W	M	10.72	non	3	40	3	0	1
53	M	S	M	40.40	non	2	43	6	3	16
56	F	NE	D	8.00	non	3	43	2	1	15
51	M	NW	M	36.25	oui	7	39	4	0	15
56	F	NW	M	30.00	non	2	44	2	0	13
52	M	NW	M	31.00	non	9	42	2	0	13
26	F	S	C	10.00	non	3	43	2	0	9
51	M	S	M	29.00	oui	9	39	3	1	14
43	F	S	M	23.00	non	3	41	4	1	12
20	F	S	C	13.00	non	5	40	4	0	9
21	M	W	C	11.00	non	3	40	3	0	10
47	M	S	M	13.00	oui	3	43	3	1	14
56	M	W	M	12.50	non	9	40	3	0	11
44	M	NE	M	30.00	oui	8	39	4	2	13
31	M	S	C	18.00	non	2	43	2	0	15
39	F	NE	M	8.25	non	4	39	4	2	14
54	F	W	D	17.00	non	5	40	2	0	15
22	F	NW	C	21.00	non	2	43	2	0	13
41	M	NW	M	25.00	oui	9	40	4	2	13
49	M	NW	M	25.00	non	7	39	5	2	14
58	F	W	V	12.53	non	3	39	1	0	13
38	F	W	D	32.00	non	10	39	4	2	10
45	F	NW	M	8.75	non	2	38	5	3	8
43	M	W	M	18.50	non	8	39	6	3	11
28	F	NW	D	10.00	non	2	40	4	2	11
46	F	NW	M	15.99	non	5	41	2	0	1
58	F	NW	M	32.70	non	2	43	4	0	14
44	F	S	M	10.25	non	5	40	2	0	11
53	F	W	M	15.00	non	9	40	3	0	11
35	M	NE	M	15.00	non	8	39	4	2	9
25	F	W	C	8.50	non	4	40	8	0	14
24	F	NW	C	7.50	non	3	39	2	0	8
44	M	W	C	10.00	non	6	32	4	2	9
53	F	NW	M	41.20	oui	2	42	2	0	14
38	M	S	M	13.25	non	2	40	2	0	15
63	M	S	M	45.50	non	8	43	5	1	16
53	M	NE	M	15.00	oui	9	39	4	0	15
20	M	W	C	16.00	non	3	40	4	0	7
